country,name,longName,foundingDate,population,capital,largestCity,area
58,Ajuran Sultanat,,,,Mer,,
59,Ajuran Sultanat,,,,Mareeg,,
60,Ajuran Sultanat,,,,Kelafo,,
61,,Akhzivland,,3,,,
62,Akkad,,,,Akkad (city),,
63,Akrotiri and Dhekeli,Sovereign Base Areas,,7700,Episkopi Cantonmen,,98mi
64,Akrotiri and Dhekeli,f,,7700,Episkopi Cantonmen,,98mi
65,Akrotiri and Dhekeli,Akrotiri and Dhekeli,,7700,Episkopi Cantonmen,,98mi
66,Alaiy,,,,Alany,,
67,Alamanni,,,,,,
68,Åland,Åland Islands,5/7/1920,28666,Mariehamn,,610mi
69,Alani,,,,Maghas,,
70,Alash,,12/13/1917,,Semey,,
71,Alash Ord,,12/13/1917,,Semey,,
72,Alawit,,9/2/1920,,Latak,,
73,,Republic of Albani,4/7/1939,2893005,Tiran,Tiran,11100mi
74,,Republic of Albani,11/29/1941,2893005,Tiran,Tiran,11100mi
75,Albani,,,,"Barda, Azerbaijan",,
76,Albani,,,,Qab,,
77,Albani,,9/1/1928,,Tiran,,
78,Albani,,4/7/1939,,Tiran,,
79,Albani,,9/8/1943,,Tiran,,
80,Albani,,1/31/1925,,Tiran,,
81,Albo,,3/2/1921,,Labin,,
82,Alderney,Alderney,,2013,"Saint Anne, Alderney",,3mi
83,Alempois,,,,,,
84,,People's Democratic Republic of Algeri,7/3/1962,40400000,Algiers,,919595mi
85,,People's Democratic Republic of Algeri,7/5/1962,40400000,Algiers,,919595mi
86,Alids,,,,Amo,,
87,,,,,,,
88,Liby,,,,Tripo,,
89,Austri,,4/27/1945,,Vienn,,
90,Germany,,7/5/1945,,East Berlin,,
91,Germany,,7/5/1945,,Bad Oeynhausen,,
92,Germany,,7/5/1945,,Berlin,,
93,Germany,,7/5/1945,,Baden-Baden,,
94,Germany,,7/5/1945,,Frankfur,,
95,Allies,,,,,,
96,,,,,,,
97,Palesti,,9/22/1948,,Gaza City,,
98,Palesti,,9/22/1948,,Cairo,,
99,Palesti,,9/22/1948,,Jerusalem,,
100,Almohads,,,,Marrakesh,,
101,Almohads,,,,Tinme,,
102,Almoravids,,,,Marrakesh,,
103,Almoravids,,,,Aghm,,
104,Alodi,,,,Soba (city),,
105,Amazonas,,,,,,
106,American Samo,Territory of American S,1889-06-14,54343,Pago Pago,,76.83mi
107,American Samo,Territory of American S,1899-12-02,54343,Pago Pago,,76.83mi
108,,,,,,,
109,Ammo,,,,Amman,,
110,An der Etsch,,,,Bolzano,,
111,Carthag,,,,Carthage,,
112,Corinth,,,,Corinth,,
113,Toul,,,,Tou,,
114,Ancient Ro,,,,Rome,,
115,Anconine Republic,,1797-11-17,,Ancon,,
116,,Principality of Andorr,,85470,Andorra la Ve,,180.55mi
117,Anga Kingdo,,,,,,
118,Angevin Empir,,1154-12-19,,Angers,,
119,Angevin Empir,,1154-12-19,,Chinon,,
120,Corsic,,1794-06-17,,Bas,,
121,Corsic,,1794-06-17,,"Corte, Haute-Corse",,
122,Anglo-Egyptian Sud,,1899-06-19,,Khartoum,,
123,Sandwich island,,,,,,
124,,Republic of A,11/11/1975,,Luand,,481354mi
125,Anguill,Angui,,13600,"The Valley, Angu",,91km
126,Anhalt-Bernburg,,,,Bernburg,,
127,Anhalt-Bernburg-Schaumburg-Hoy,,,,,,
128,Anhalt-Dessau,,,,Dessau,,
129,Anhalt-Harzgerod,,,,,,
130,Anhalt-Köth,,,,,,
131,Anjou,Autonomous Island of Anjou,,277500,Mutsamudu,,163mi
132,A,,,,Huế,,
133,Antigonid Empir,,,,,,
134,,Antigua and Barbud,2/27/1967,91295,"St. John's, Antigua and Barbud",,170mi
135,,Antigua and Barbud,11/1/1981,91295,"St. John's, Antigua and Barbud",,170mi
136,,,,,,,
137,Appenzell,,,,Appenzell (town),,
138,Apu,,,,Tell Leilan,,
139,Apu,,,,Apum (city),,
140,Arab Federatio,,2/14/1958,,,,
141,Arab Islamic Republic,,1/11/1974,,,,
142,Syri,,3/8/1920,,Damascus,,
143,,League of Arab States,3/22/1945,423000000,,,5070420mi
144,,,4/27/1976,,,,
145,Arakkal Kingdo,,,,Kannur,,
146,"Bremen, Archbishopric",,,,Bremervörde,,
147,"Bremen, Archbishopric",,,,Bremen,,
148,"Bremen, Archbishopric",,,,Basdah,,
149,Magdeburg,,,,Magdeburg,,
150,Magdeburg,,,,Halle (Saale),,
151,Rig,,,,Rig,,
152,Salzburg,,,,Salzburg (state),,
153,Austri,,,,Vienn,,
154,Ardabil Khanat,,,,Ardab,,
155,,,,,,,
156,Arenberg,,,,Aremberg,,
157,Eastern Greec,,1821-03-25,,Amfiss,,
158,Argenti,Argentine Republic,1810-05-25,43417000,Buenos Aires,,2780400km
159,Argenti,Argentine Republic,1816-07-09,43417000,Buenos Aires,,2780400km
160,Argentine Confederatio,,1831-01-04,,"Paraná, Entre Ríos",,
161,"Sindh, Balochistan, Gujarat",,,,Bukkur,,
162,,,,,,,
163,Armeni,Republic of Armeni,,,Yerevan,,11484mi
164,Cilici,,1198-01-06,,Tarsus,,
165,Cilici,,1198-01-06,,Çamlıyay,,
166,Cilici,,1198-01-06,,Sis (ancient city),,
167,Armenian SSR,,12/2/1920,,,,
168,Armani,,,,Aleppo,,
169,Armeni,,,,Dvin (ancient city),,
170,Aro Confederacy,,,,Arochukwu,,
171,Artquids,,,,Mardin,,
172,Artquids,,,,Elazığ,,
173,Artquids,,,,Diyarbakır,,
174,Artquids,,,,Hasankeyf,,
175,Arub,Arub,3/18/1986,103400,"Oranjestad, Arub",,69.08mi
176,Ascension Island,Ascension Island,9/12/1922,880,"Georgetown, Ascension Island",,88km
177,,,,,,,
178,,,,,,,
179,Asant,,,,Kumas,,
180,Ashantiland,(Asanteman),,11700000,Kumas,Kum,120761km
181,Ashantiland,Ashantiland,,11700000,Kumas,Kum,120761km
182,Ashantiland,(Kingdom of Ashanti),,11700000,Kumas,Kum,120761km
183,Ashikaga shogunat,,1336-08-11,,Kyoto,,
184,,,,,,,
185,,,8/8/1967,625000000,,,1712602mi
186,,,12/16/2008,625000000,,,1712602mi
187,Assyri,,,,Nineveh,,
188,Assyri,,,,Nimrud,,
189,Assyri,,,,Assur,,
190,Assyri,,,,Dur-Sharrukin,,
191,Assyri,,,,Harran,,
192,Middle Assyrian Empir,,,,Nineveh,,
193,Middle Assyrian Empir,,,,Nimrud,,
194,Middle Assyrian Empir,,,,Assur,,
195,Middle Assyrian Empir,,,,Dur-Sharrukin,,
196,Middle Assyrian Empir,,,,Harran,,
197,Astrakh,,,,Xacitarxan,,
198,Tenth Dynasty of Hùng kings,,,,Phong Châu,,
199,Atabegs of Yazd,,,,Yazd,,
200,Atropat,,,,Ganzak,,
201,Pergamo,,,,Pergamon,,
202,,,,,,,
203,Austenasi,Empire of Austenasi,9/20/2008,,Carshalton,,0.2327km
204,Australi,Commonwealth of Australi,1/1/1901,,Canberr,Sydn,7692024km
205,Australi,Commonwealth of Australi,9/3/1939,,Canberr,Sydn,7692024km
206,Australi,Commonwealth of Australi,10/9/1942,,Canberr,Sydn,7692024km
207,the Australian Antarctic Territory,Australian Antarctic Territory,,,Davis Station,,5896500km
208,Austrasi,,,,Metz,,
209,Austri,Republic of Austri,,8662588,Vienn,,32385.9mi
210,Austria-Hungary,,1867-03-01,,Budapes,Vienn,
211,Austria-Hungary,,1867-03-01,,Vienn,Vienn,
212,Austria-Hungary,,1867-03-01,,Budapes,Budap,
213,Austria-Hungary,,1867-03-01,,Vienn,Budap,
214,Austri,,1804-08-11,,Vienn,Vienn,
215,Austrian Littoral,,1849-03-04,,Trieste,,
216,Austrian Netherlands,,1714-03-07,,Brussels,,
217,Silesi,,,,Opav,,
218,Bosnia and Herzegovi,,1878-07-13,,Sarajevo,,
219,Republic of Korçë,,12/10/1916,,Korçë,,
220,Khoras,,,,Mashhad,,
221,Kosovo and Metohij,Kosovo and Metohij,,1804838,Pristin,,4212mi
222,Kosovo and Metohij,Autonomous Province of,,1804838,Pristin,,4212mi
223,Western Bosni,,9/27/1993,,Velika Kladuš,,
224,Cri,Autonomous Republic of Cri,2/12/1991,,Simferopo,,10038mi
225,Cri,Autonomous Republic of Cri,10/21/1998,,Simferopo,,10038mi
226,Αυτόνομος Ήπειρος,,2/28/1914,,Gjirokastër,,
227,Turkish Cypriot Administratio,,10/1/1974,,,,
228,Avar Khaganat,,,,,,
229,Avar Khanat,,,,,,
230,Avatel,,,,,,5.4mi
231,Awdalland,Awdalland,,,Boram,,6122km
232,Axis,,11/25/1936,,,,
233,Ay dynasty,,,,Mavelikkar,,
234,Ay dynasty,,,,Keezhperoor,,
235,Ay dynasty,,,,Alwarkurich,,
236,Ay dynasty,,,,Vizhinjam,,
237,Ay dynasty,,,,Periyaoor,,
238,Ay dynasty,,,,Aykud,,
239,Aydinids,,,,Selçuk,,
240,Aydinids,,,,Birg,,
241,Ayutthaya Kingdo,,,,Phra Nakhon Si Ayutthaya Distr,,
242,Ayutthaya Kingdo,,,,Mueang Lopburi Distr,,
243,Ayutthaya Kingdo,,,,Mueang Phitsanulok Distr,,
244,Ayyubid,,,,Aleppo,,
245,Ayyubid,,,,Cairo,,
246,Azad Hind,,10/21/1943,,Port Blair,,
247,Azadist,,,,Tabriz,,
248,Azawad,,4/6/2012,,Gao,Timbuktu,
249,Azawad,,4/6/2012,,Timbuktu,Timbuktu,
250,Azcapotzalco,,,,,,
251,Azerbaij,Republic of Azerbaij,5/28/1918,9624900,Baku,,33436mi
252,Azerbaij,Republic of Azerbaij,4/28/1920,9624900,Baku,,33436mi
253,Azerbaij,,5/28/1918,,Baku,,
254,Azerbaij,,5/28/1918,,"Ganja, Azerbaijan",,
255,Azerbaijan People's Government,,,,Tabriz,,
256,Azerbaijan SSR,,4/28/1920,,Baku,,
257,Aztec Empir,,1428-03-13,,Tenochtitlan,,
258,Azuchi–Momoyama period,,1568-10-18,,,,
259,B,,,,Enshi City,,
260,B,,,,Yuzhong Distr,,
261,B,,,,Fengdu County,,
262,B,,,,Fuling Distr,,
263,B,,,,Hechuan Distr,,
264,B,,,,Langzhong,,
265,Iraq,,7/17/1968,,,,
266,,,,,,,
267,,,,,Lügde,,
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,Baekj,,,,Ungjin,,
272,Baekj,,,,Sabi (Korea),,
273,Baekj,,,,Wiryeseong,,
274,Armeni,,,,An,,
275,Armeni,,,,Bagaran (ancient city),,
276,Armeni,,,,Shirakavan (ancient city),,
277,Armeni,,,,Kars,,
278,Bahmani Sultanat,,1347-08-03,,Bidar,,
279,Bahmani Sultanat,,1347-08-03,,Gulbarg,,
280,Bahrai,Kingdom of Bahrai,8/14/1971,1343000,Manam,,295.37mi
281,Bahrai,Kingdom of Bahrai,8/15/1971,1343000,Manam,,295.37mi
282,Guernsey,Bailiwick of Guernsey,,65849,,,30.1mi
283,Baindt Abbey,,,,,,
284,Baku Khanat,,,,,,
285,Balh,,,,List of provinces of Balhae,,
286,Balh,,,,Sanggyeong,,
287,Bali,,,,"Gelgel, Indones",,
288,Bali,,,,Klungkung Regency,,
289,Bali,,,,Bedulu,,
290,Bali,,,,Samprangan,,
291,Balkan Entent,,2/9/1934,,,,
292,,,,,,,
293,,Baltic states,,6177650,,,67523mi
294,Bamana Empir,,,,Ségou,,
295,Banat Republic,,11/1/1918,,,,
296,Bandow,,,,Kuldīg,,
297,Bangladesh,People's Republic of Bangladesh,8/14/1947,168957745,Dhak,Dhak,56977mi
298,Bangladesh,People's Republic of Bangladesh,3/23/1956,168957745,Dhak,Dhak,56977mi
299,,Bangladesh–China–India–Myanmar Forum for Regional Cooperati,,,,,
300,Bangsamoro Republik,,7/27/2013,,Davao City,Davao ,
301,Bangsamoro Republik,,8/12/2013,,Davao City,Davao ,
302,Bant,,,,Banten (town),,
303,Ifranid,,,,Tlemcen,,
304,Ilyasids,,,,Bardsir,,
305,Banu Qasi dynasty,,,,"Tudela, Navarre",,
306,Barbados,Barbados,11/30/1966,,Bridgetown,,166mi
307,Barghawata Confederacy,,,,,,
308,Barony of Caux,Sovereign Barony of Caux,,,North Amer,,
309,Barotseland,Kingdom of Barotseland,,5153405,,,368823km
310,Barotziland-North-Western Rhodesi,,1899-11-28,,"Livingstone, Zamb",,182000mi
311,Barotziland-North-Western Rhodesi,,1899-11-28,,Kalomo,,182000mi
312,Basque Country,Basque Country,,3000000,Vitoria-Gasteiz,Bilbao,20947km
313,,Bassas da Indi,,,,,
314,Basutoland,,,,Maseru,,
315,Batavi,,1795-01-19,,The Hague,,
316,Tabarist,,,,"Farim, Iran",,
317,Tabarist,,,,Amo,,
318,Tabarist,,,,"Sari, Iran",,
319,Bavaria-Ingolstadt,,,,,,
320,Bavaria-Landshut,,1353-06-03,,,,
321,Bavaria-Munich,,,,,,
322,Bavarian Soviet Republic,,4/6/1919,,Munich,,
323,,,5/14/1997,1465236000,,,3499559km
324,,,1/31/2015,1465236000,,,3499559km
325,Bechuanaland,,1885-03-31,,Mahikeng,,
326,Bechuanaland,,1885-03-31,,Gaborone,,
327,Belarus,Republic of Belarus,7/27/1990,9498700,Minsk,,80155mi
328,Belarus,Republic of Belarus,8/25/1991,9498700,Minsk,,80155mi
329,Belarus,,3/1/1943,,Minsk,,
330,Belarus,,3/25/1918,,Grodno,,
331,Belarus,,3/25/1918,,Minsk,,
332,,,,,,,
333,Congo,,11/15/1908,,Kinshas,,
334,Belgiu,Kingdom of Belgiu,1830-10-04,,City of Brussels,,11787mi
335,Belgiu,Kingdom of Belgiu,1839-04-19,,City of Brussels,,11787mi
336,Belgiu,,11/11/1918,,City of Brussels,,
337,Beliz,Beliz,9/21/1981,347369,Belmopan,Belize ,8867mi
338,Bengal Sultanat,,,,Gauḍa (city),,
339,Bengal Sultanat,,,,Sonargaon,,
340,Bengal Sultanat,,,,"Pandua, Mald",,
341,Beni,Republic of Beni,8/1/1960,10879829,Porto-Novo,otonou,114763km
342,Benin Empir,,,,Benin City,,
343,Berbic,,,,Fort Nassau (Guyana),,
344,Berbic,,,,"New Amsterdam, Guyan",,
345,Berchtesgad,,,,Berchtesgaden,,
346,Berg,,,,Düsseldorf,,
347,Berg,,,,Burg Castle (Solingen),,
348,Bermud,Bermud,,,"Hamilton, Bermud",,20.6mi
349,Bernici,,,,Bamburgh,,
350,Bessarabi,,,,Chișinău,,
351,Bafr,,,,,,
352,Çubukoğulları,,,,Elazığ,,
353,Dilkadirids,,,,Elbistan,,
354,Dilkadirids,,,,Kahramanmaraş,,
355,Tekk,,,,Antaly,,
356,Tunis,,1705-07-15,,,,
357,Canik,,,,,,
358,Bhopal,,,,Bho,,
359,Bhopal,,,,"Islamnagar, Bho",,
360,Bhut,Kingdom of Bhut,12/17/1907,742737,Thimphu,,14824mi
361,Bhut,Kingdom of Bhut,8/8/1949,742737,Thimphu,,14824mi
362,Biafr,,5/30/1967,,Enugu State,,
363,,,,,,,
364,,,,,Bidar,,
365,Republic of Bihać,,11/4/1942,,Bihać,,
366,Bi,,,,Bim,,
367,Eleventh Dynasty of Hùng kings,,,,Phong Châu,,
368,Bishopric of Brandenburg,,,,Brandenburg an der Have,,
369,Brix,,,,Brixen,,
370,,,,,Kołobrzeg,,
371,,,,,Wolin (town),,
372,,,,,Koszalin,,
373,,,,,Kamień Pomorsk,,
374,,,,,Usedom Abbey,,
375,"Constance, Bishopric",,,,Konstanz,,
376,"Constance, Bishopric",,,,Meersburg,,
377,Courland,,1234-02-11,,Piltene,,
378,"Dorpat, Bishopric",,,,Tartu,,
379,Eichstätt,,,,Eichstä,,
380,Halberstadt,,,,Halberstad,,
381,Havelberg,,,,Havelberg,,
382,Havelberg,,,,Wittstock,,
383,Hildeshei,,,,Hildesheim,,
384,"Lebus, Bishopric",,,,Fürstenwalde,,
385,"Lebus, Bishopric",,,,Lebus,,
386,"Lebus, Bishopric",,,,"Górzyca, Lubusz Voivodesh",,
387,Lübeck,,,,Eutin,,
388,Merseburg,,,,Merseburg,,
389,"Metz, Bishopric",,,,Metz,,
390,"Metz, Bishopric",,,,Vic-sur-Seille,,
391,Mind,,,,Minden,,
392,Osel–Wiek,,1228-10-01,,Haapsalu,,
393,Osel–Wiek,,1228-10-01,,Kuressaare,,
394,Osel–Wiek,,1228-10-01,,Pärnu,,
395,Osel–Wiek,,1228-10-01,,Lihu,,
396,Ratzeburg,,1236-07-15,,Ratzeburg,,
397,"Regensburg, Bishopric",,,,,,
398,Speyer,,,,Bruchs,,
399,Speyer,,,,Philippsburg,,
400,Speyer,,,,Speyer,,
401,Trent,,,,Trento,,
402,Verdu,,,,,,
403,"Worms, Bishopric",,,,"Worms, Germany",,
404,"Worms, Bishopric",,,,Ladenburg,,
405,Würzburg,,,,Bishopric of Würzburg,,
406,Bolivi,Plurinational State of Bolivi,1825-08-06,11410651,Sucre,Santa Cruz de la S,424163mi
407,Bolivi,Plurinational State of Bolivi,1847-07-21,11410651,Sucre,Santa Cruz de la S,424163mi
408,Bolognese Republic,,,,Bologn,,
409,Bono,,,,,,
410,Bophuthatsw,,12/6/1977,,Mmabatho,,
411,Borduri,Republic of Borduri,,,,,
412,Bornu Empir,,,,Ngazargamu,,
413,Bosnia and Herzegovi,Bosnia and Herzegovi,3/1/1992,,Sarajevo,,19741mi
414,Bosporan Kingdo,,,,Panticapaeum,,
415,Botsw,Republic of Botsw,9/30/1966,2155784,Gaborone,,224610mi
416,Franc,,1814-04-06,,Paris,,
417,Bouvet Island,Bouvet Island,1/23/1928,,,,49km
418,Bouvet Island,Bouvet Island,12/1/1927,,,,49km
419,Sindh,,,,,,
420,Brandenburger Gold Coast,,,,"Princes Town, Ghan",,
421,Brandenburg-Prussi,,1618-08-27,,Königsberg,,
422,Brandenburg-Prussi,,1618-08-27,,Berlin,,
423,Brazil,Federative Republic of Brazi,1822-09-07,205338000,Brasí,São Paulo,3287597mi
424,Brazil,Federative Republic of Brazi,1825-08-29,205338000,Brasí,São Paulo,3287597mi
425,Brazil,,3/31/1964,,,,
426,Bremen-Verd,,1648-05-15,,Stade,,
427,Bretzenhei,,,,,,
428,Britannic Empir,,,,Londinium,,
429,British Americ,,,,Kingdom of England,,
430,the British Antarctic Territory,British Antarctic Territory,,250,London,,660000mi
431,the British Antarctic Territory,British Antarctic Territory,,250,Rothera Research Station,,660000mi
432,,British Arctic territory,,,,,
433,,(16th Century-1880),,,,,
434,British Bechuanaland,,1885-03-01,,Vryburg,,
435,Cameroo,,7/20/1922,,,,
436,British Central Africa Protectorat,,,,"Zomba, Malaw",,
437,Ceylo,,1815-03-05,,Colombo,,
438,,,,,,,
439,Guy,,1814-08-13,,"Georgetown, Guyan",,
440,Beliz,,,,Belmopan,,
441,Beliz,,,,Belize City,,
442,British Honduras,,,,Belmopan,,
443,British Honduras,,,,Belize City,,
444,Hong Kong,,1841-01-20,,"Victoria, Hong Kong",,
445,British Indian Ocean Territory,British Indian Ocean Territory,,3000,,,21004mi
446,,,1762-10-06,,"Bacolor, Pampang",,
447,,,1762-10-06,,Man,,
448,,,1762-10-06,,Pampang,,
449,Keny,,6/11/1920,,,,
450,Leeward Islands,,,,"St. John's, Antigua and Barbud",,
451,British Mauritius,,1810-12-03,,Port Louis,,
452,Borneo,,9/12/1945,,"Victoria, Labuan",,
453,Liby,,,,Tripo,,
454,Malay,,9/12/1945,,Kuala Lumpur,,
455,British North Americ,,,,London,,
456,British North Americ,,,,England,,
457,,,,250000,,,1727570km
458,Indi,,1858-08-02,,,,
459,Bur,,1824-03-05,,Yangon,,
460,British Solomon Islands,,1893-03-15,,Honiar,,
461,British Solomon Islands,,1893-03-15,,Tulag,,
462,Northern Somalia Protectorat,,,,Berber,,
463,British Togoland,,12/27/1916,,"Ho, Ghan",,
464,British Virgin Islands,Virgin Islands,,,Road Town,,59mi
465,British Western Pacific Territories,,,,Suv,,
466,British Western Pacific Territories,,,,Honiar,,
467,Windward Islands,,,,Bridgetown,,
468,Windward Islands,,,,"St. George's, Grenad",,
469,Brunei,"tion of Brunei, Abode of Peac",,415717,Bandar Seri Begawan,Bandar Seri Begawan,2226mi
470,Bruneian Empir,,,,Bandar Seri Begawan,,
471,Bruneian Empir,,,,"Kota Batu, Brunei-Muar",,
472,Bruneian Empir,,,,Kampong Ayer,,
473,Brycheiniog,,,,Talgarth,,
474,Buchau Abbey,,,,,,
475,Bukhar Khudats,,,,Bukhar,,
476,Bukhar,,10/8/1920,,Bukhar,,
477,Bulgari,Republic of Bulgari,,,Sof,,42823mi
478,Bulgari,,,,Ohrid,,
479,Bulgari,,,,Skopje,,
480,Bulgari,,,,Veliki Preslav,,
481,Bulgari,,,,Veliko Tarnovo,,
482,Bulgari,,,,Vidin,,
483,Bulgari,,,,Plisk,,
484,No,,9/16/1944,,,,
485,Bunyoro,Bunyoro-Kitara Kingd,,1400000,Hoim,Masind,3241mi
486,,,,27000000,,Acc,238535km
487,,,1347-10-16,,,,
488,,,,,,,
489,"Nuremberg, Burgraviat",,,,Nuremberg,,
490,Netherlands,,,,Brussels,,
491,Burid,,,,Damascus,,
492,,Burkina Fas,,17322796,Ouagadougou,,105869mi
493,Burtscheid Abbey,,,,,,
494,Burundi,Republic of Burundi,7/1/1962,11178921,Bujumbur,,27834km
495,Bushmanland,,,,Tsumkwe,,
496,Buxheim Charterhous,,,,,,
497,Buyeo,,,,Nong'an Town,,
498,Buyids,,,,Iraq,,
499,Buyids,,,,Baghdad,,
500,Buyids,,,,Fars Province,,
501,Buyids,,,,"Rey, Iran",,
502,Buyids,,,,Shiraz,,
503,Buyids,,,,Jib,,
504,Byelorussian SSR,,7/31/1920,,Minsk,,
505,Byelorussian SSR,,7/31/1920,,Smolensk,,
506,Byzanti,,,,Arsamos,,
507,Byzanti,,,,Malaty,,
508,Byzanti,,,,Sivas,,
509,Byzanti,,,,Erzurum,,
510,Byzantine Empir,,,,Constantinople,,
511,Byzantine Empir,,,,"Syracuse, Sicily",,
512,Byzantiu,,,,Constantinople,,
513,Byzantiu,,0610-10-05,,Constantinople,,
514,Byzantiu,,,,Constantinople,,
515,Byzantiu,,0518-06-10,,Constantinople,,
516,Byzantiu,,1081-04-04,,Constantinople,,
517,Byzantiu,,0867-09-02,,Constantinople,,
518,Byzantiu,,1261-07-25,,Constantinople,,
519,Byzantiu,,,,Constantinople,,
520,,,4/21/1907,50000,,São Gabriel da Cacho,160000km
521,,,11/15/1928,50000,,São Gabriel da Cacho,160000km
522,Cai,,,,Fengtai County,,
523,Cai,,,,Shangcai County,,
524,Cai,,,,Xincai County,,
525,Californi,,1846-06-14,,,,
526,Córdob,,,,"Córdoba, Andalus",,
527,Cambodi,Kingdom of Cambodi,,15458332,Phnom Penh,,69898mi
528,Cameroo,Republic of Camer,1/1/1960,22534532,Yaoundé,,183569mi
529,Cameroo,Republic of Camer,10/1/1961,22534532,Yaoundé,,183569mi
530,Third Dynasty of Hùng kings,,,,Phong Châu,,
531,Can Pech,,,,Campeche City,,
532,Canad,,1867-07-01,35985751,Ottaw,Toronto,3854085mi
533,Canad,,12/11/1931,35985751,Ottaw,Toronto,3854085mi
534,Cañaris,,,,Tumebamb,,
535,Fifteenth Dynasty of Hùng kings,,,,,,
536,Canton 10,Canton 10,6/12/1996,,Livno,Livno,1905.1mi
537,Canton 10,Canton 10,6/12/1996,,Tomislavgrad,Livno,1905.1mi
538,Neuchatel,,,,,,
539,Cao,,,,Dingtao Distr,,
540,Cao Wei,,0220-12-10,,Luoyang,,
541,Cape Colony,,,,,,
542,Cape Verd,Republic of Cabo Verd,7/5/1975,525000,Pr,,1557mi
543,Brazil,,,,,,
544,Chil,,,,History of Chile,,
545,Chil,,,,Santiago,,
546,Cub,,,,Havan,,
547,Guatemal,,,,Guatemala City,,
548,Guatemal,,,,Antigua Guatem,,
549,Puerto Rico,,,,"San Juan, Puerto Rico",,
550,Santo Domingo,,,,Santo Domingo,,
551,Philippines,,,,Man,,
552,Venezuel,,1777-09-08,,,,
553,Carantani,,,,Maria S,,
554,Carchemish,,,,,,
555,Carneol,,,,Kranj,,
556,Franks,,,,Aachen,,
557,Carpatho-Ukrai,,3/14/1939,,Khus,Khu,
558,Carriacou and Petite Martiniqu,Carriacou and Petite Martiniqu,,6081,"Hillsborough, Carriacou",,13.2mi
559,Cascadi,Cascadi,,15638140,,S,534572mi
560,Cataloni,,10/6/1934,,,,
561,Caucasian Albani,,,,"Barda, Azerbaijan",,
562,Caucasian Albani,,,,Qab,,
563,Caucasian Imamat,,,,,,
564,Cay,,,,Cayenne,,
565,Cayman Islands,Cayman Islands,11/6/2009,,"George Town, Cayman Islands",,102mi
566,Cayor Kingdo,,,,Mbou,,
567,European Unio,,,,Belgium,,
568,Central African Empir,,12/4/1976,,Bangu,,
569,the Central African Republic,Central African Republic,8/13/1960,4709000,Bangu,,240534mi
570,the Central African Republic,Central African Republic,12/4/1976,4709000,Bangu,,240534mi
571,Central Bosni,Central Bosnia Cant,6/12/1996,,Travnik,Travnik,1231.3mi
572,Central Powers,,6/28/1914,,,,
